"","value","species_id","citation_id","site_id","treatment","trait_id","variable_id"
"1",5.555555556,1000020938,1000000113,1000000232,2000000012,NA,15
"2",5.882352941,1000020939,1000000113,1000000232,2000000012,NA,15
"3",6.25,13388,1000000113,1000000232,2000000012,NA,15
"4",14.7893413,227,1000000113,1000000232,2000000012,NA,15
"5",11.04,1000020916,1000000118,1000026724,2000000012,NA,15
"6",13.29,1000020927,1000000118,1000026724,2000000012,NA,15
"7",12.5,1000020895,1000000118,1000026724,2000000012,NA,15
"8",12.08,1000020942,1000000118,1000026724,2000000012,NA,15
"9",13.18256739,19251,1000000145,1000026724,2000000012,NA,15
"10",9.652509653,1000020868,1000000101,1000025739,2000000012,NA,15
"11",14.83679525,33804,1000000146,1000026724,2000000012,NA,15
"12",10.68376068,1000005276,1000000146,1000026724,2000000012,NA,15
"13",19.92031873,34006,1000000146,1000026724,2000000012,NA,15
"14",10.83926914,49943,1000000078,2000000002,2000000012,NA,15
"15",7.762471166,50836,1000000061,1000005005,2000000012,NA,15
"16",10.78134125,49943,1000000149,1000026725,2000000012,NA,15
"17",16.97792869,49993,1000000151,1000026743,2000000012,NA,15
"18",15.31393568,227,1000000151,1000026743,2000000012,NA,15
"19",19.49317739,39891,1000000151,1000026743,2000000012,NA,15
"20",22.37136465,36729,1000000151,1000026743,2000000012,NA,15
"21",13.12335958,19251,1000000154,1000026747,2000000012,NA,15
"22",10.23292992,1300,1000000141,1000026744,2000000012,NA,15
"23",8.896797153,50074,1000000155,1000025744,2000000012,NA,15
"24",6.798096533,13503,1000000155,1000025744,2000000012,NA,15
"25",26.9541779,1000003609,1000000156,1000025744,2000000012,NA,15
"26",24.06639004,49882,1000000156,1000025744,2000000012,NA,15
"27",17.51313485,49884,1000000156,1000025744,2000000012,NA,15
"28",6.638217166,13503,1000000156,1000025744,2000000012,NA,15
"29",2.818382931,50884,1000000157,1133,2000000012,NA,15
"30",6.165950019,50885,1000000157,1133,2000000012,NA,15
"31",9.54992586,492,1000000158,1133,2000000012,NA,15
"32",35,49937,1000000159,1000005005,2000000012,NA,15
"33",30.8,1000006385,1000000159,1000005005,2000000012,NA,15
"34",14.7,18178,1000000159,1000005005,2000000012,NA,15
"35",12.3,1000009869,1000000159,1000005005,2000000012,NA,15
"36",23.1,1000011923,1000000159,1000005005,2000000012,NA,15
"37",15.7,50986,1000000159,1000005005,2000000012,NA,15
"38",18.83239171,1000020863,1000000160,1000026715,2000000012,NA,15
"39",31.25,1000002385,1000000160,1000026715,2000000012,NA,15
"40",17.57469244,1000020991,1000000160,1000026715,2000000012,NA,15
"41",23.98081535,39582,1000000160,1000026715,2000000012,NA,15
"42",32.78688525,1000010391,1000000160,1000026715,2000000012,NA,15
"43",5.952380952,50036,1000000161,1000026742,2000000012,NA,15
"44",8.474576271,10238,1000000161,1000026742,2000000012,NA,15
"45",15.92356688,281,1000000161,1000026742,2000000012,NA,15
"46",6.711409396,50148,1000000161,1000026742,2000000012,NA,15
"47",6.25,50735,1000000161,1000026742,2000000012,NA,15
"48",12.76,227,1000000109,1000026713,2000000012,NA,15
"49",12.66,1000002246,1000000109,1000026713,2000000012,NA,15
"50",21.41,281,1000000109,1000026713,2000000012,NA,15
"51",17.6,39878,1000000109,1000026713,2000000012,NA,15
"52",8.33,5807,1000000109,1000026713,2000000012,NA,15
"53",15.45,1000003887,1000000109,1000026713,2000000012,NA,15
"54",7,3762,1000000109,1000026713,2000000012,NA,15
"55",13.34,5630,1000000109,1000026713,2000000012,NA,15
"56",11.68,27020,1000000109,1000026713,2000000012,NA,15
"57",18.12,39582,1000000109,1000026713,2000000012,NA,15
"58",27.69,17254,1000000109,1000026713,2000000012,NA,15
"59",14.15,25287,1000000109,1000026713,2000000012,NA,15
"60",18.73,1000020873,1000000109,1000026713,2000000012,NA,15
"61",9.13,2834,1000000109,1000026713,2000000012,NA,15
"62",8.47,49943,1000000071,2000000002,2000000012,NA,15
"63",15.3,49953,1000000071,2000000002,2000000012,NA,15
"64",15.7,1000011255,1000000071,2000000002,2000000012,NA,15
"65",14.1,49993,1000000071,2000000002,2000000012,NA,15
"66",16.1,50567,1000000071,2000000002,2000000012,NA,15
"67",10.83926914,49943,1000000124,2000000002,2000000012,NA,15
"68",8.511380382,10238,1000000153,1000025739,2000000012,NA,15
